Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12318,2022-03-16,0.0430448789,-0.018811835,-0.020470713,21,100
Market-Adjusted Model,12321,2022-03-16,0.0522201118,-0.011376888,-0.011295481,21,100
Market-Adjusted Model,12325,2022-03-16,-0.17541169,-0.204831178,-0.238927282,21,100
Market-Adjusted Model,12326,2022-03-16,-0.034060078,-0.095027135,-0.09757567,21,100
Market-Adjusted Model,12329,2022-03-16,0.0267807203,-0.037097979,-0.036734872,21,100
Market-Adjusted Model,12331,2022-03-16,-0.076317446,-0.141182782,-0.139833039,21,100
Market-Adjusted Model,12332,2022-03-16,0.0009999993,-0.048745257,-0.062515593,21,100
Market-Adjusted Model,12333,2022-03-16,0.1019721791,0.0412011326,0.0384565867,21,100
Market-Adjusted Model,12334,2022-03-16,-0.102252224,-0.16016285,-0.165767817,21,100
Market-Adjusted Model,12338,2022-03-16,-0.005675391,-0.06762476,-0.069190983,21,100
Market-Adjusted Model,12339,2022-03-16,0.1038062101,0.1835944029,0.0402906177,21,100
Market-Adjusted Model,12341,2022-03-16,-0.031610746,-0.095217434,-0.095126339,21,100
Market-Adjusted Model,12345,2022-03-16,0.1372488808,0.0705637908,0.0737332884,21,100
Market-Adjusted Model,12350,2022-03-16,1.9417476429,1.3251368712,1.8782320505,21,100
Market-Adjusted Model,12355,2022-03-16,-0.06960296,-0.128961003,-0.133118553,21,100
Market-Adjusted Model,12358,2022-03-16,0.2389380455,0.1873706063,0.1754224531,21,100
Market-Adjusted Model,12360,2022-03-16,-0.206414492,-0.249942436,-0.269930085,21,100
Market-Adjusted Model,12363,2022-03-16,0.0761773179,0.018596843,0.0126617255,21,100
Market-Adjusted Model,12366,2022-03-16,0.0840203658,0.020142294,0.0205047734,21,100
Market-Adjusted Model,12367,2022-03-16,0.086643745,0.0418815139,0.0231281526,21,100
Market-Adjusted Model,12368,2022-03-16,0.0076119171,-0.054898921,-0.055903675,21,100
Market-Adjusted Model,12369,2022-03-16,0.0157232867,-0.038133063,-0.047792306,21,100
Market-Adjusted Model,12370,2022-03-16,0.052523715,-0.009220922,-0.010991877,21,100
Market-Adjusted Model,12372,2022-03-16,0.0673037229,0.0113184719,0.0037881305,21,100
Market-Adjusted Model,12373,2022-03-16,0.0905652708,0.0272870883,0.0270496784,21,100
Market-Adjusted Model,12376,2022-03-16,0.112565464,0.0453380531,0.0490498716,21,100
Market-Adjusted Model,12377,2022-03-16,-0.059541436,-0.070339716,-0.123057028,21,100
Market-Adjusted Model,12380,2022-03-16,-0.128000031,-0.19388583,-0.191515623,21,100
Market-Adjusted Model,12385,2022-03-16,-0.045255467,-0.106035925,-0.108771059,21,100
Market-Adjusted Model,12391,2022-03-16,0.2928095489,0.2012461974,0.2292939565,21,100
Market-Adjusted Model,12397,2022-03-16,0.1262135915,0.07429619,0.0626979991,21,100
Market-Adjusted Model,12400,2022-03-16,0.1251635501,0.0674375921,0.0616479577,21,100
Market-Adjusted Model,12411,2022-03-16,-0.038709638,-0.084788189,-0.10222523,21,100
Market-Adjusted Model,12412,2022-03-16,0.0262179637,-0.036215581,-0.037297629,21,100
Market-Adjusted Model,12413,2022-03-16,0.0121395934,0.0139018511,0.0140994214,3,100
Market-Adjusted Model,12431,2022-03-16,0.0474485786,-0.013169227,-0.016067014,21,100
Market-Adjusted Model,12437,2022-03-16,0.0745789456,0.0159588047,0.0110633532,21,100
Market-Adjusted Model,12442,2022-03-16,-0.161565863,-0.225009497,-0.225081455,21,100
Market-Adjusted Model,12443,2022-03-16,0.1550561821,0.0958885761,0.0915405897,21,100
Market-Adjusted Model,12447,2022-03-16,0.0975066357,0.0371702155,0.0339910433,21,100
Market-Adjusted Model,12448,2022-03-16,0.0105917144,-0.047150306,-0.052923878,21,100
Market-Adjusted Model,12449,2022-03-16,0.10662952,0.0414226187,0.0431139276,21,100
Market-Adjusted Model,12452,2022-03-16,-0.125441707,-0.19214141,-0.188957299,21,100
Market-Adjusted Model,12453,2022-03-16,-0.009313315,-0.073328083,-0.072828908,21,100
Market-Adjusted Model,12457,2022-03-16,0.1113050086,0.0429634673,0.0477894162,21,100
Market-Adjusted Model,12461,2022-03-16,0.0511184543,-0.01309923,-0.012397138,21,100
Market-Adjusted Model,12462,2022-03-16,0.0758258987,0.0102148352,0.0123103063,21,100
Market-Adjusted Model,12463,2022-03-16,-0.008106429,-0.072001088,-0.071622021,21,100
Market-Adjusted Model,12472,2022-03-16,0.0679030854,0.0065312448,0.004387493,21,100
Market-Adjusted Model,12473,2022-03-16,-0.02406935,-0.08210862,-0.087584942,21,100
Market-Adjusted Model,12476,2022-03-16,0.1632341192,0.0922180027,0.0997185268,21,100
Market-Adjusted Model,12477,2022-03-16,-0.036533078,-0.095183584,-0.100048671,21,100
Market-Adjusted Model,12480,2022-03-16,0.0949110533,0.0280336617,0.0313954609,21,100
Market-Adjusted Model,12487,2022-03-16,-0.022988503,-0.08246597,-0.086504096,21,100
Market-Adjusted Model,12488,2022-03-16,0.031976719,0.0518597002,-0.031538873,21,100
Market-Adjusted Model,12490,2022-03-16,0.0888340046,0.0219353474,0.0253184122,21,100
Market-Adjusted Model,12495,2022-03-16,0.0849514358,0.131503577,0.0214358434,21,100
Market-Adjusted Model,12497,2022-03-16,0.3594771037,0.2663158445,0.2959615113,21,100
Market-Adjusted Model,12500,2022-03-16,-0.121951183,-0.134667544,-0.185466776,21,100
Market-Adjusted Model,12502,2022-03-16,0.0016026005,-0.030873121,-0.061912992,21,100
Market-Adjusted Model,12505,2022-03-16,-0.040087555,-0.101941361,-0.103603147,21,100
Market-Adjusted Model,12508,2022-03-16,0.0326454927,-0.028890402,-0.0308701,21,100
Market-Adjusted Model,12510,2022-03-16,-0.035585745,-0.096721045,-0.099101337,21,100
Market-Adjusted Model,12513,2022-03-16,0.0705378055,0.006532354,0.0070222131,21,100
Market-Adjusted Model,12514,2022-03-16,-0.017016969,-0.0798229,-0.080532561,21,100
Market-Adjusted Model,12515,2022-03-16,0.0630522935,0.0047405682,-0.000463299,21,100
Market-Adjusted Model,12516,2022-03-16,-0.020122593,-0.083893807,-0.083638186,21,100
Market-Adjusted Model,12523,2022-03-16,0.0312767354,-0.030332713,-0.032238857,21,100
Market-Adjusted Model,12527,2022-03-16,0.3161875692,0.2811635924,0.2526719768,21,100
Market-Adjusted Model,12528,2022-03-16,0.0207307626,-0.042233702,-0.04278483,21,100
Market-Adjusted Model,12530,2022-03-16,-0.075595213,-0.13907398,-0.139110806,21,100
Market-Adjusted Model,12531,2022-03-16,-0.274356631,-0.365945168,-0.337872223,21,100
Market-Adjusted Model,12533,2022-03-16,0.0603709847,-0.001948332,-0.003144608,21,100
Market-Adjusted Model,12534,2022-03-16,0.0292207387,-0.030209965,-0.034294854,21,100
Market-Adjusted Model,12535,2022-03-16,0.0479690403,-0.014340576,-0.015546552,21,100
Market-Adjusted Model,12536,2022-03-16,0.0870655313,0.0208337849,0.0235499389,21,100
Market-Adjusted Model,12537,2022-03-16,0.0157423838,-0.04703553,-0.047773209,21,100
Market-Adjusted Model,12540,2022-03-16,0.1678115897,0.1080374204,0.1042959973,21,100
Market-Adjusted Model,12542,2022-03-16,0.5560018672,0.4427511171,0.4924862748,21,100
Market-Adjusted Model,12543,2022-03-16,-0.060392963,-0.125079777,-0.123908555,21,100
Market-Adjusted Model,12552,2022-03-16,0.0216702347,-0.041099298,-0.041845358,21,100
Market-Adjusted Model,12556,2022-03-16,0.1648350533,0.1663778174,0.1013194609,21,100
